table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Sanborn County, South Dakota	2,330	2,325	2,383	2,415
.Spink County, South Dakota	6,362	6,347	6,273	6,235
.Stanley County, South Dakota	2,980	2,969	3,017	2,999
.Sully County, South Dakota	1,448	1,452	1,471	1,471
.Todd County, South Dakota	9,319	9,317	9,292	9,220
.Tripp County, South Dakota	5,621	5,603	5,566	5,565
.Turner County, South Dakota	8,662	8,672	8,682	8,856
.Union County, South Dakota	16,813	16,853	16,868	17,063
.Walworth County, South Dakota	5,310	5,286	5,246	5,265
.Yankton County, South Dakota	23,311	23,282	23,334	23,373
.Ziebach County, South Dakota	2,413	2,392	2,400	2,395
.Anderson County, Tennessee	77,136	77,302	77,567	78,913
.Bedford County, Tennessee	50,239	50,381	51,157	51,950
.Benton County, Tennessee	15,863	15,850	15,839	16,002
.Bledsoe County, Tennessee	14,916	14,954	14,844	14,798
.Blount County, Tennessee	135,283	135,649	137,649	139,958
.Bradley County, Tennessee	108,620	108,820	109,769	110,616
.Campbell County, Tennessee	39,277	39,301	39,409	39,584
.Cannon County, Tennessee	14,512	14,568	14,535	14,788
.Carroll County, Tennessee	28,434	28,421	28,287	28,458
.Carter County, Tennessee	56,349	56,362	56,060	56,410
.Cheatham County, Tennessee	41,065	41,128	41,547	41,830
.Chester County, Tennessee	17,348	17,377	17,479	17,609
.Claiborne County, Tennessee	32,038	32,066	32,146	32,431
.Clay County, Tennessee	7,580	7,588	7,572	7,620
.Cocke County, Tennessee	35,998	36,039	36,370	36,879
.Coffee County, Tennessee	57,882	58,134	58,933	59,728
.Crockett County, Tennessee	13,909	13,903	13,993	13,888
.Cumberland County, Tennessee	61,152	61,377	62,431	63,522
.Davidson County, Tennessee	715,875	716,058	703,372	708,144
.Decatur County, Tennessee	11,442	11,437	11,413	11,564
.DeKalb County, Tennessee	20,078	20,187	20,478	21,003
.Dickson County, Tennessee	54,314	54,442	55,174	55,761
.Dyer County, Tennessee	36,803	36,709	36,586	36,410
.Fayette County, Tennessee	42,002	42,151	42,899	43,630
.Fentress County, Tennessee	18,489	18,533	18,837	19,332
.Franklin County, Tennessee	42,769	42,839	43,247	43,942
.Gibson County, Tennessee	50,409	50,436	50,537	50,837
.Giles County, Tennessee	30,344	30,340	30,403	30,554
.Grainger County, Tennessee	23,527	23,563	23,833	24,277
.Greene County, Tennessee	70,152	70,333	70,603	71,405
.Grundy County, Tennessee	13,525	13,539	13,586	13,783
.Hamblen County, Tennessee	64,500	64,537	64,390	65,168
.Hamilton County, Tennessee	366,215	367,242	369,027	374,682
.Hancock County, Tennessee	6,659	6,625	6,777	6,845
.Hardeman County, Tennessee	25,460	25,432	25,276	25,529
.Hardin County, Tennessee	26,829	26,805	26,878	27,077
.Hawkins County, Tennessee	56,718	56,710	57,257	58,043
.Haywood County, Tennessee	17,862	17,824	17,715	17,550
.Henderson County, Tennessee	27,841	27,827	27,916	27,929
.Henry County, Tennessee	32,197	32,144	32,250	32,379
.Hickman County, Tennessee	24,909	24,969	25,085	25,455
.Houston County, Tennessee	8,281	8,303	8,282	8,219
.Humphreys County, Tennessee	18,992	19,001	19,200	19,106
.Jackson County, Tennessee	11,619	11,634	11,777	11,989
.Jefferson County, Tennessee	54,679	54,908	55,562	56,727
.Johnson County, Tennessee	17,950	17,990	18,056	18,086
.Knox County, Tennessee	478,981	480,500	486,812	494,574
.Lake County, Tennessee	7,004	6,988	6,597	6,507
.Lauderdale County, Tennessee	25,139	25,120	24,922	24,793
.Lawrence County, Tennessee	44,163	44,182	44,729	45,415
.Lewis County, Tennessee	12,581	12,602	12,854	12,957
.Lincoln County, Tennessee	35,326	35,335	35,451	36,004
.Loudon County, Tennessee	54,887	55,127	56,672	58,181
.McMinn County, Tennessee	53,275	53,344	53,907	54,719
.McNairy County, Tennessee	25,859	25,858	25,854	25,988
.Macon County, Tennessee	25,215	25,263	25,682	26,229
.Madison County, Tennessee	98,843	98,833	98,585	99,245
.Marion County, Tennessee	28,835	28,865	28,927	29,094
.Marshall County, Tennessee	34,320	34,466	35,032	35,878
.Maury County, Tennessee	100,975	101,824	105,003	108,159
.Meigs County, Tennessee	12,755	12,807	13,029	13,272
.Monroe County, Tennessee	46,249	46,395	46,668	47,740
.Montgomery County, Tennessee	219,994	221,265	227,841	235,201
.Moore County, Tennessee	6,469	6,471	6,652	6,742
.Morgan County, Tennessee	21,027	21,038	21,101	21,224
.Obion County, Tennessee	30,788	30,767	30,498	30,394
.Overton County, Tennessee	22,514	22,592	22,856	23,044
.Perry County, Tennessee	8,381	8,379	8,473	8,685
.Pickett County, Tennessee	5,006	5,002	5,082	5,107
.Polk County, Tennessee	17,547	17,568	17,784	17,863
.Putnam County, Tennessee	79,844	80,052	81,255	82,382
.Rhea County, Tennessee	32,870	32,934	33,205	33,730
.Roane County, Tennessee	53,393	53,510	54,056	55,082
.Robertson County, Tennessee	72,803	72,945	74,088	75,470
.Rutherford County, Tennessee	341,481	343,266	351,202	360,619
.Scott County, Tennessee	21,852	21,878	21,895	22,035
.Sequatchie County, Tennessee	15,829	15,850	16,445	16,909
.Sevier County, Tennessee	98,391	98,562	99,435	98,789
.Shelby County, Tennessee	929,722	929,388	923,352	916,371
.Smith County, Tennessee	19,914	19,970	20,181	20,489
.Stewart County, Tennessee	13,662	13,711	13,830	14,035
.Sullivan County, Tennessee	158,161	158,237	159,167	160,820
.Sumner County, Tennessee	196,281	197,396	200,582	203,858
.Tipton County, Tennessee	60,979	61,041	61,049	61,656
.Trousdale County, Tennessee	11,610	11,638	11,619	12,111
.Unicoi County, Tennessee	17,924	17,883	17,667	17,674
.Union County, Tennessee	19,802	19,841	19,996	20,452
.Van Buren County, Tennessee	6,168	6,174	6,277	6,429
.Warren County, Tennessee	40,951	41,054	41,529	42,026
.Washington County, Tennessee	133,005	133,213	133,525	136,172
.Wayne County, Tennessee	16,232	16,222	16,336	16,308
.Weakley County, Tennessee	32,902	32,899	32,870	33,063
.White County, Tennessee	27,356	27,443	27,557	28,064
.Williamson County, Tennessee	247,733	249,538	256,209	260,815
.Wilson County, Tennessee	147,747	148,645	152,010	158,555
.Anderson County, Texas	57,922	57,926	58,233	58,064
.Andrews County, Texas	18,614	18,617	18,411	18,334
.Angelina County, Texas	86,394	86,376	86,654	87,101
.Aransas County, Texas	23,831	23,932	24,519	24,944
.Archer County, Texas	8,554	8,554	8,684	8,835
.Armstrong County, Texas	1,846	1,849	1,838	1,850
.Atascosa County, Texas	48,985	49,134	49,886	50,864
.Austin County, Texas	30,168	30,131	30,421	31,097
.Bailey County, Texas	6,904	6,868	6,803	6,779
.Bandera County, Texas	20,843	20,992	21,551	22,115
.Bastrop County, Texas	97,218	98,046	102,166	106,188
.Baylor County, Texas	3,465	3,461	3,456	3,466
.Bee County, Texas	31,061	31,049	30,828	30,394
.Bell County, Texas	370,644	372,229	380,241	388,386
.Bexar County, Texas	2,009,322	2,015,369	2,030,895	2,059,530
.Blanco County, Texas	11,376	11,450	11,890	12,418
.Borden County, Texas	628	641	621	585
.Bosque County, Texas	18,226	18,245	18,495	18,697
.Bowie County, Texas	92,903	92,924	92,291	92,035
.Brazoria County, Texas	372,040	373,481	378,858	388,181
.Brazos County, Texas	233,848	234,486	237,583	242,014
.Brewster County, Texas	9,545	9,553	9,459	9,343
.Briscoe County, Texas	1,434	1,419	1,400	1,431
.Brooks County, Texas	7,086	7,057	6,994	6,906
.Brown County, Texas	38,101	38,048	38,142	38,373
.Burleson County, Texas	17,642	17,680	18,110	18,657
.Burnet County, Texas	49,123	49,473	51,080	52,502
.Caldwell County, Texas	45,887	45,949	46,904	47,848
.Calhoun County, Texas	20,105	20,063	19,798	19,706
.Callahan County, Texas	13,703	13,744	14,078	14,210
.Cameron County, Texas	421,012	421,445	423,124	425,208
.Camp County, Texas	12,465	12,427	12,594	12,716
.Carson County, Texas	5,799	5,791	5,708	5,784
.Cass County, Texas	28,445	28,436	28,557	28,539
.Castro County, Texas	7,376	7,336	7,362	7,298
.Chambers County, Texas	46,571	47,025	48,721	51,288
.Cherokee County, Texas	50,411	50,488	51,163	51,645
.Childress County, Texas	6,666	6,662	6,781	6,809
.Clay County, Texas	10,213	10,250	10,315	10,486
.Cochran County, Texas	2,543	2,557	2,491	2,526
.Coke County, Texas	3,280	3,295	3,313	3,333
.Coleman County, Texas	7,686	7,686	7,736	7,850
.Collin County, Texas	1,066,465	1,075,654	1,114,450	1,158,696
.Collingsworth County, Texas	2,648	2,638	2,603	2,568
.Colorado County, Texas	20,555	20,558	20,592	20,754
.Comal County, Texas	161,482	163,640	174,891	184,642
.Comanche County, Texas	13,590	13,628	13,804	13,878
.Concho County, Texas	3,303	3,303	3,336	3,340
.Cooke County, Texas	41,671	41,744	42,408	43,050
.Coryell County, Texas	83,091	83,146	84,406	85,057
.Cottle County, Texas	1,380	1,364	1,357	1,307
.Crane County, Texas	4,676	4,673	4,639	4,546
.Crockett County, Texas	3,097	3,094	3,015	2,943
.Crosby County, Texas	5,125	5,093	5,085	4,998
.Culberson County, Texas	2,188	2,185	2,182	2,155
.Dallam County, Texas	7,121	7,126	7,188	7,241
.Dallas County, Texas	2,611,491	2,609,966	2,587,954	2,600,840
.Dawson County, Texas	12,457	12,473	12,412	12,130
.Deaf Smith County, Texas	18,585	18,526	18,345	18,377
.Delta County, Texas	5,225	5,222	5,337	5,406
.Denton County, Texas	906,405	914,324	943,857	977,281
.DeWitt County, Texas	19,822	19,835	19,949	19,772
.Dickens County, Texas	1,769	1,758	1,734	1,726
.Dimmit County, Texas	8,611	8,577	8,479	8,387
.Donley County, Texas	3,261	3,279	3,364	3,339
.Duval County, Texas	9,827	9,807	10,003	9,888
.Eastland County, Texas	17,733	17,775	17,834	17,944
.Ector County, Texas	165,171	165,485	160,764	160,869
.Edwards County, Texas	1,427	1,424	1,431	1,422
.Ellis County, Texas	192,441	194,295	203,107	212,182
.El Paso County, Texas	865,655	866,547	868,086	868,763
.Erath County, Texas	42,545	42,716	43,389	43,895
.Falls County, Texas	16,963	16,954	17,099	17,049
.Fannin County, Texas	35,661	35,798	36,716	37,125
.Fayette County, Texas	24,436	24,471	24,669	24,913
.Fisher County, Texas	3,671	3,676	3,678	3,622
.Floyd County, Texas	5,397	5,368	5,299	5,235
.Foard County, Texas	1,092	1,085	1,052	1,057
.Fort Bend County, Texas	822,779	829,036	860,124	889,146
.Franklin County, Texas	10,357	10,371	10,472	10,618
.Freestone County, Texas	19,445	19,445	19,784	19,950
.Frio County, Texas	18,392	18,409	17,548	17,815
.Gaines County, Texas	21,599	21,699	21,881	22,181
.Galveston County, Texas	350,673	351,559	355,309	357,117
.Garza County, Texas	5,816	5,817	6,269	6,262
.Gillespie County, Texas	26,722	26,742	27,282	27,477
.Glasscock County, Texas	1,115	1,117	1,142	1,164
.Goliad County, Texas	7,018	7,021	7,146	7,131
.Gonzales County, Texas	19,657	19,679	19,655	19,832
.Gray County, Texas	21,229	21,198	21,085	21,015
.Grayson County, Texas	135,552	136,100	139,561	143,131
.Gregg County, Texas	124,234	124,241	124,052	125,443
.Grimes County, Texas	29,292	29,430	30,106	30,754
.Guadalupe County, Texas	172,709	173,686	177,254	182,760
.Hale County, Texas	32,526	32,465	32,234	31,827
.Hall County, Texas	2,817	2,797	2,845	2,810
.Hamilton County, Texas	8,221	8,247	8,238	8,298
.Hansford County, Texas	5,281	5,260	5,138	5,151
.Hardeman County, Texas	3,549	3,559	3,544	3,516
.Hardin County, Texas	56,234	56,344	57,044	57,811
.Harris County, Texas	4,731,129	4,734,505	4,735,287	4,780,913
.Harrison County, Texas	68,834	68,798	69,454	69,955
.Hartley County, Texas	5,376	5,349	5,389	5,208
.Haskell County, Texas	5,412	5,432	5,392	5,403
.Hays County, Texas	241,066	243,967	256,065	269,225
.Hemphill County, Texas	3,383	3,363	3,315	3,217
.Henderson County, Texas	82,145	82,394	83,590	84,511
.Hidalgo County, Texas	870,796	872,806	880,633	888,367
.Hill County, Texas	35,869	35,962	36,430	37,329
.Hockley County, Texas	21,543	21,503	21,256	21,161
.Hood County, Texas	61,597	62,054	64,263	66,373
.Hopkins County, Texas	36,792	36,824	37,237	37,804
.Houston County, Texas	22,067	22,055	21,958	21,950
.Howard County, Texas	34,864	34,812	34,336	33,672
.Hudspeth County, Texas	3,206	3,203	3,289	3,432
.Hunt County, Texas	99,957	100,257	103,458	108,282
.Hutchinson County, Texas	20,614	20,568	20,411	20,215
.Irion County, Texas	1,513	1,511	1,531	1,530
.Jack County, Texas	8,474	8,486	8,718	8,922
.Jackson County, Texas	14,987	14,992	15,097	15,142
.Jasper County, Texas	32,983	32,921	32,570	32,484
.Jeff Davis County, Texas	2,000	1,986	1,959	1,903
.Jefferson County, Texas	256,526	256,118	253,531	250,830
.Jim Hogg County, Texas	4,835	4,846	4,797	4,763
.Jim Wells County, Texas	38,893	38,877	38,923	38,826
.Johnson County, Texas	179,999	180,945	187,442	195,506
.Jones County, Texas	19,653	19,678	19,809	19,935
.Karnes County, Texas	14,707	14,763	14,714	14,836
.Kaufman County, Texas	145,303	147,126	158,216	172,366
.Kendall County, Texas	44,281	44,547	46,851	48,973
.Kenedy County, Texas	352	351	342	358
.Kent County, Texas	753	761	746	740
.Kerr County, Texas	52,594	52,691	53,136	53,741
.Kimble County, Texas	4,280	4,291	4,350	4,422
.King County, Texas	262	266	256	233
.Kinney County, Texas	3,131	3,124	3,117	3,128
.Kleberg County, Texas	31,038	30,977	30,642	30,362
.Knox County, Texas	3,353	3,346	3,307	3,273
.Lamar County, Texas	50,082	50,126	50,305	50,484
.Lamb County, Texas	13,043	13,005	12,886	12,724
.Lampasas County, Texas	21,632	21,707	22,213	22,785
.La Salle County, Texas	6,667	6,664	6,716	6,604
.Lavaca County, Texas	20,337	20,348	20,490	20,589
.Lee County, Texas	17,480	17,502	17,671	17,954
.Leon County, Texas	15,717	15,731	15,985	16,209
.Liberty County, Texas	91,632	92,465	97,382	101,992
.Limestone County, Texas	22,147	22,139	22,125	22,253
.Lipscomb County, Texas	3,058	3,036	2,907	2,854
.Live Oak County, Texas	11,333	11,349	11,383	11,428
.Llano County, Texas	21,243	21,285	22,013	22,540
.Loving County, Texas	63	65	57	51
.Lubbock County, Texas	310,642	311,564	314,597	317,561
.Lynn County, Texas	5,595	5,610	5,652	5,724
.McCulloch County, Texas	7,634	7,591	7,532	7,497
.McLennan County, Texas	260,582	261,177	263,714	266,836
.McMullen County, Texas	600	598	597	576
.Madison County, Texas	13,463	13,464	13,498	13,661
.Marion County, Texas	9,728	9,751	9,618	9,560
.Martin County, Texas	5,239	5,252	5,208	5,217
.Mason County, Texas	3,951	3,968	3,929	3,982
.Matagorda County, Texas	36,249	36,280	36,366	36,125
.Maverick County, Texas	57,885	57,873	57,841	57,843
.Medina County, Texas	50,739	50,939	52,322	53,723
.Menard County, Texas	1,964	1,961	1,964	1,968
.Midland County, Texas	169,984	170,348	168,206	171,999
.Milam County, Texas	24,750	24,775	25,189	25,628
.Mills County, Texas	4,454	4,447	4,497	4,500
.Mitchell County, Texas	8,991	9,014	9,050	8,943
.Montague County, Texas	19,965	19,994	20,430	21,063
.Montgomery County, Texas	620,451	625,243	650,261	678,490
.Moore County, Texas	21,362	21,264	21,122	20,996
.Morris County, Texas	11,971	11,972	12,009	12,083
.Motley County, Texas	1,063	1,063	1,065	1,032
.Nacogdoches County, Texas	64,651	64,619	64,699	64,862
.Navarro County, Texas	52,623	52,828	53,616	54,636
.Newton County, Texas	12,216	12,157	12,202	12,052
.Nolan County, Texas	14,736	14,723	14,600	14,473
.Nueces County, Texas	353,170	353,376	353,230	351,674
.Ochiltree County, Texas	10,015	9,954	9,763	9,606
.Oldham County, Texas	1,759	1,764	1,730	1,752
.Orange County, Texas	84,806	84,747	84,641	84,934
.Palo Pinto County, Texas	28,408	28,445	28,676	29,239
.Panola County, Texas	22,492	22,492	22,538	22,677
.Parker County, Texas	148,228	149,547	156,966	165,834
.Parmer County, Texas	9,871	9,854	9,779	9,620
.Pecos County, Texas	15,197	15,185	15,126	14,735
.Polk County, Texas	50,119	50,494	51,816	53,255
.Potter County, Texas	118,527	118,272	116,538	115,645
.Presidio County, Texas	6,134	6,109	6,115	5,939
.Rains County, Texas	12,154	12,178	12,449	12,823
.Randall County, Texas	140,761	141,342	144,039	146,140
.Reagan County, Texas	3,383	3,378	3,228	3,135
.Real County, Texas	2,751	2,743	2,806	2,840
.Red River County, Texas	11,588	11,560	11,547	11,542
.Reeves County, Texas	14,741	14,763	13,002	12,905
.Refugio County, Texas	6,739	6,742	6,700	6,632
.Roberts County, Texas	828	822	798	803
.Robertson County, Texas	16,759	16,771	16,948	17,153
.Rockwall County, Texas	107,832	109,136	116,549	123,208
.Runnels County, Texas	9,899	9,919	9,886	9,859
.Rusk County, Texas	52,223	52,257	53,071	53,333
.Sabine County, Texas	9,892	9,888	9,989	10,048
.San Augustine County, Texas	7,921	7,923	7,900	7,857
.San Jacinto County, Texas	27,399	27,531	27,829	28,348
.San Patricio County, Texas	68,754	68,838	69,701	69,954
.San Saba County, Texas	5,720	5,722	5,824	5,824
.Schleicher County, Texas	2,454	2,445	2,443	2,357
.Scurry County, Texas	16,929	16,937	16,830	16,686
.Shackelford County, Texas	3,102	3,105	3,177	3,186
.Shelby County, Texas	24,022	23,927	23,962	24,008
.Sherman County, Texas	2,780	2,787	2,791	2,799
.Smith County, Texas	233,484	234,195	237,114	241,922
.Somervell County, Texas	9,204	9,204	9,472	9,757
.Starr County, Texas	65,918	65,861	65,972	65,728
.Stephens County, Texas	9,104	9,098	9,434	9,390
.Sterling County, Texas	1,369	1,381	1,382	1,417
.Stonewall County, Texas	1,246	1,245	1,208	1,182
.Sutton County, Texas	3,372	3,355	3,284	3,217
.Swisher County, Texas	6,971	6,946	6,996	6,881
.Tarrant County, Texas	2,110,608	2,115,682	2,129,402	2,154,595
.Taylor County, Texas	143,205	143,444	143,942	145,163
.Terrell County, Texas	760	750	720	693
.Terry County, Texas	11,832	11,794	11,721	11,567
.Throckmorton County, Texas	1,442	1,453	1,508	1,550
.Titus County, Texas	31,245	31,292	31,266	31,208
.Tom Green County, Texas	120,007	120,194	119,250	118,892
.Travis County, Texas	1,290,209	1,296,515	1,308,544	1,326,436
.Trinity County, Texas	13,600	13,632	13,809	13,996
.Tyler County, Texas	19,799	19,811	19,892	20,030
.Upshur County, Texas	40,890	41,038	41,811	42,488
.Upton County, Texas	3,308	3,301	3,241	3,152
.Uvalde County, Texas	24,564	24,559	24,810	24,940
.Val Verde County, Texas	47,584	47,605	47,589	47,606
.Van Zandt County, Texas	59,540	59,749	61,200	62,859
.Victoria County, Texas	91,320	91,303	90,897	91,065
.Walker County, Texas	76,402	76,544	78,322	78,870
.Waller County, Texas	56,763	57,304	59,474	61,894
.Ward County, Texas	11,648	11,680	11,111	10,964
.Washington County, Texas	35,804	35,805	35,898	36,159
.Webb County, Texas	267,110	267,345	267,633	267,780
.Wharton County, Texas	41,574	41,564	41,697	41,824
.Wheeler County, Texas	4,987	4,976	4,905	4,807
.Wichita County, Texas	129,355	129,617	130,006	129,978
.Wilbarger County, Texas	12,891	12,844	12,688	12,491
.Willacy County, Texas	20,163	20,150	20,290	20,143
.Williamson County, Texas	609,010	615,517	644,451	671,418
.Wilson County, Texas	49,757	50,051	51,281	52,735
.Winkler County, Texas	7,791	7,750	7,373	7,306
.Wise County, Texas	68,632	68,943	71,888	74,895
.Wood County, Texas	44,855	45,041	46,031	46,857
.Yoakum County, Texas	7,695	7,675	7,559	7,451
.Young County, Texas	17,867	17,847	17,911	17,962
.Zapata County, Texas	13,888	13,874	13,893	13,849
.Zavala County, Texas	9,670	9,662	9,487	9,377
.Beaver County, Utah	7,074	7,087	7,203	7,327
.Box Elder County, Utah	57,669	57,946	59,693	61,498
.Cache County, Utah	133,159	133,624	137,429	140,173
.Carbon County, Utah	20,418	20,488	20,361	20,571
.Daggett County, Utah	936	952	977	1,014
.Davis County, Utah	362,689	363,745	367,446	369,948
.Duchesne County, Utah	19,603	19,617	19,806	20,161
.Emery County, Utah	9,822	9,842	9,963	10,099
.Garfield County, Utah	5,092	5,107	5,149	5,281
.Grand County, Utah	9,669	9,677	9,665	9,769
.Iron County, Utah	57,285	57,708	60,522	62,429
.Juab County, Utah	11,778	11,818	12,192	12,567
.Kane County, Utah	7,663	7,688	7,999	8,227
.Millard County, Utah	12,977	13,049	13,175	13,330
.Morgan County, Utah	12,294	12,381	12,667	12,832
.Piute County, Utah	1,437	1,433	1,482	1,487
.Rich County, Utah	2,510	2,500	2,581	2,628
.Salt Lake County, Utah	1,185,236	1,186,921	1,186,440	1,186,257
.San Juan County, Utah	14,510	14,517	14,476	14,359
.Sanpete County, Utah	28,435	28,521	29,138	29,724
.Sevier County, Utah	21,517	21,561	21,918	22,069
.Summit County, Utah	42,364	42,482	43,168	43,036
.Tooele County, Utah	72,697	73,338	76,734	79,934
.Uintah County, Utah	35,613	35,671	36,232	37,141
.Utah County, Utah	659,392	663,559	685,806	702,434
.Wasatch County, Utah	34,791	35,063	36,260	36,619
.Washington County, Utah	180,281	182,009	191,476	197,680
.Wayne County, Utah	2,490	2,508	2,567	2,645
.Weber County, Utah	262,213	262,973	266,588	269,561
.Addison County, Vermont	37,359	37,343	37,444	37,578
.Bennington County, Vermont	37,344	37,300	37,424	37,392
.Caledonia County, Vermont	30,235	30,183	30,423	30,579
.Chittenden County, Vermont	168,324	168,386	169,271	169,301
.Essex County, Vermont	5,919	5,918	5,965	5,994
.Franklin County, Vermont	49,949	50,040	50,433	50,731
.Grand Isle County, Vermont	7,291	7,276	7,418	7,489
.Lamoille County, Vermont	25,939	25,917	26,147	26,090
.Orange County, Vermont	29,289	29,299	29,625	29,846
.Orleans County, Vermont	27,402	27,404	27,601	27,666
.Rutland County, Vermont	60,570	60,477	60,720	60,366
.Washington County, Vermont	59,804	59,756	60,023	60,048
.Windham County, Vermont	45,909	45,850	46,128	45,842
.Windsor County, Vermont	57,751	57,744	58,350	58,142
.Accomack County, Virginia	33,417	33,388	33,364	33,191
.Albemarle County, Virginia	112,396	112,502	113,742	114,534
.Alleghany County, Virginia	15,219	15,186	15,024	14,835
.Amelia County, Virginia	13,262	13,268	13,337	13,455
.Amherst County, Virginia	31,311	31,309	31,391	31,589
.Appomattox County, Virginia	16,117	16,154	16,398	16,748
.Arlington County, Virginia	238,644	238,799	233,574	234,000
.Augusta County, Virginia	77,485	77,567	77,778	78,064
.Bath County, Virginia	4,205	4,186	4,087	4,049
.Bedford County, Virginia	79,465	79,553	80,287	80,848
.Bland County, Virginia	6,274	6,257	6,179	6,148
.Botetourt County, Virginia	33,593	33,637	33,977	34,135
.Brunswick County, Virginia	15,850	15,824	15,979	15,921
.Buchanan County, Virginia	20,348	20,249	19,861	19,352
.Buckingham County, Virginia	16,830	16,826	16,940	16,982
.Campbell County, Virginia	55,689	55,625	55,375	55,141
.Caroline County, Virginia	30,886	30,924	31,402	31,957
.Carroll County, Virginia	29,154	29,142	29,071	29,147
.Charles City County, Virginia	6,770	6,744	6,631	6,605
.Charlotte County, Virginia	11,533	11,541	11,522	11,475
.Chesterfield County, Virginia	364,546	365,776	371,276	378,408
.Clarke County, Virginia	14,787	14,813	14,916	15,266
.Craig County, Virginia	4,895	4,878	4,876	4,847
.Culpeper County, Virginia	52,554	52,766	53,785	54,381
.Cumberland County, Virginia	9,677	9,666	9,696	9,746
.Dickenson County, Virginia	14,129	14,074	13,852	13,725
.Dinwiddie County, Virginia	27,940	27,888	27,999	28,161
.Essex County, Virginia	10,598	10,595	10,552	10,630
.Fairfax County, Virginia	1,150,305	1,148,558	1,141,645	1,138,331
.Fauquier County, Virginia	72,956	72,990	74,022	74,664
.Floyd County, Virginia	15,475	15,469	15,509	15,619
.Fluvanna County, Virginia	27,247	27,285	27,797	28,159
.Franklin County, Virginia	54,475	54,486	55,010	55,074
.Frederick County, Virginia	91,421	91,865	94,014	95,051
.Giles County, Virginia	16,792	16,785	16,584	16,453
.Gloucester County, Virginia	38,716	38,718	39,131	39,493
.Goochland County, Virginia	24,729	24,853	25,499	26,109
.Grayson County, Virginia	15,335	15,278	15,330	15,343
.Greene County, Virginia	20,554	20,606	21,028	21,107
.Greensville County, Virginia	11,389	11,382	11,412	11,226
.Halifax County, Virginia	34,022	33,920	33,758	33,644
.Hanover County, Virginia	109,980	110,195	111,821	112,938
.Henrico County, Virginia	334,389	334,344	333,867	333,962
.Henry County, Virginia	50,949	50,846	50,296	49,906
.Highland County, Virginia	2,233	2,241	2,241	2,301
.Isle of Wight County, Virginia	38,610	38,702	39,393	40,151
.James City County, Virginia	78,255	78,478	79,914	81,199
.King and Queen County, Virginia	6,606	6,588	6,668	6,718
.King George County, Virginia	26,722	26,822	27,522	27,856
.King William County, Virginia	17,811	17,916	18,205	18,492
.Lancaster County, Virginia	10,919	10,897	10,896	10,750
.Lee County, Virginia	22,173	22,107	22,061	21,982
.Loudoun County, Virginia	420,955	422,669	428,435	432,085
.Louisa County, Virginia	37,603	37,798	39,032	40,116
.Lunenburg County, Virginia	11,937	11,947	11,997	12,031
.Madison County, Virginia	13,842	13,860	13,950	14,000
.Mathews County, Virginia	8,535	8,520	8,545	8,490
.Mecklenburg County, Virginia	30,315	30,278	30,300	30,508
.Middlesex County, Virginia	10,626	10,616	10,772	10,943
.Montgomery County, Virginia	99,717	99,561	98,835	98,915
.Nelson County, Virginia	14,770	14,737	14,800	14,652
.New Kent County, Virginia	22,942	23,119	23,979	24,986
.Northampton County, Virginia	12,278	12,208	12,039	11,900
.Northumberland County, Virginia	11,838	11,838	12,046	12,302
.Nottoway County, Virginia	15,642	15,639	15,584	15,559
.Orange County, Virginia	36,184	36,391	37,189	37,991
.Page County, Virginia	23,708	23,687	23,801	23,750
.Patrick County, Virginia	17,604	17,583	17,668	17,643
.Pittsylvania County, Virginia	60,502	60,365	60,090	59,952
.Powhatan County, Virginia	30,334	30,438	31,172	31,489
.Prince Edward County, Virginia	21,846	21,898	21,957	21,927
.Prince George County, Virginia	43,010	43,045	42,998	43,134
.Prince William County, Virginia	482,198	482,790	485,205	486,943
.Pulaski County, Virginia	33,800	33,804	33,808	33,706
.Rappahannock County, Virginia	7,350	7,321	7,437	7,502
.Richmond County, Virginia	8,920	8,919	9,049	9,080
.Roanoke County, Virginia	96,936	96,922	96,751	96,914
.Rockbridge County, Virginia	22,650	22,645	22,639	22,593
.Rockingham County, Virginia	83,759	83,765	84,470	85,397
.Russell County, Virginia	25,786	25,756	25,577	25,448
.Scott County, Virginia	21,568	21,585	21,482	21,476
.Shenandoah County, Virginia	44,192	44,263	44,829	44,968
.Smyth County, Virginia	29,800	29,782	29,600	29,449
.Southampton County, Virginia	18,001	17,952	18,037	17,932
.Spotsylvania County, Virginia	140,094	140,594	143,957	146,688
.Stafford County, Virginia	156,937	157,746	161,584	163,380
.Surry County, Virginia	6,558	6,551	6,524	6,527
.Sussex County, Virginia	10,831	10,789	10,812	10,680
.Tazewell County, Virginia	40,439	40,405	40,057	39,821
.Warren County, Virginia	40,724	40,786	40,957	41,440
.Washington County, Virginia	53,934	53,889	53,793	53,958
.Westmoreland County, Virginia	18,477	18,508	18,732	18,712
.Wise County, Virginia	36,118	36,061	35,707	35,421
.Wythe County, Virginia	28,285	28,312	28,200	28,111
.York County, Virginia	70,055	70,228	71,176	71,341
.Alexandria city, Virginia	159,461	159,125	155,203	155,525
.Bristol city, Virginia	17,218	17,295	17,095	16,975
.Buena Vista city, Virginia	6,641	6,621	6,615	6,591
.Charlottesville city, Virginia	46,554	46,465	45,730	45,373
